,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,year_extracted,old_price
0,2019,Honda,City,Used,Automatic,1.5,82499.5,2025,54800
1,2016,Perodua,Bezza,Used,Automatic,1.3,104999.5,2025,32800
2,2015,Honda,Jazz,Used,Automatic,1.5,134999.5,2025,48800
3,2019,Proton,X70,Used,Automatic,1.8,57499.5,2025,56800
4,2021,Proton,X70,Used,Automatic,1.8,67499.5,2025,65800
5,2014,Honda,Jazz,Used,Automatic,1.5,124999.5,2025,35000
6,2013,Audi,r2016,Used,Automatic,2,124999.5,2025,57800
7,2024,Ford,Ranger,New,Automatic,2,2499.5,2025,242188
8,2018,Bmw,740Le,Used,Automatic,2,92499.5,2025,147800
9,2023,Toyota,Landcruiser,Recon,Automatic,3.4,7499.5,2025,518000
10,2020,Bmw,740Le,Used,Automatic,3,97499.5,2025,219800
11,2020,Bmw,740Le,Used,Automatic,3,97499.5,2025,219800
12,2023,Honda,Civic,Recon,Automatic,2,2499.5,2025,325000
13,2025,Proton,Saga,New,Automatic,1.3,2499.5,2025,32000
14,2019,AUDI,A5,Used,Automatic,2,32499.5,2025,166000
15,2020,Nissan,X-Trail,Used,Automatic,2,52499.5,2025,76500
16,2018,Perodua,Myvi,Used,Automatic,1.5,72499.5,2025,40800
17,2016,Lexus,Nx200,Used,Automatic,2,82499.5,2025,135000
18,2013,Honda,Civic,Used,Automatic,1.8,97499.5,2025,32800
19,2018,Honda,Hr-V,Used,Automatic,1.8,97499.5,2025,57800
20,2015,Nissan,Grand,Used,Automatic,1.6,114999.5,2025,31800
21,2021,Toyota,Yaris,Used,Automatic,1.5,52499.5,2025,51900
22,2012,Toyota,Vellfire,Recon,Automatic,2.4,124999.5,2025,90000
23,2015,Mercedes,,Used,Automatic,1.6,82499.5,2025,68800
24,2020,Porsche,911,Recon,Automatic,3,22499.5,2025,768000
25,2022,Toyota,Harrier,Recon,Automatic,2,47499.5,2025,192000
26,2017,Honda,Jazz,Used,Automatic,1.5,62499.5,2025,48999
27,2017,Toyota,Vios,Used,Automatic,1.5,62499.5,2025,45999
28,2020,Proton,X70,Used,Automatic,1.8,52499.5,2025,53999
29,2016,Kia,Optima,Used,Automatic,2,67499.5,2025,43999
30,2016,Toyota,Hilux,Used,Automatic,2.5,72499.5,2025,59999
31,2017,Mercedes,,Used,Automatic,3,62499.5,2025,227800
32,2012,Toyota,Estima,Used,Automatic,2.4,154999.5,2025,68800
33,2015,Honda,City,Used,Automatic,1.5,134999.5,2025,0
34,2018,Proton,Exora,Used,Automatic,1.6,77499.5,2025,0
35,2011,Perodua,Myvi,Used,Automatic,1.3,124999.5,2025,0
36,2020,Mercedes,,Recon,Automatic,2,12499.5,2025,0
38,2023,Toyota,Vellfire,Recon,Automatic,2.4,2499.5,2025,447000
39,2021,Toyota,Harrier,Recon,Automatic,2,7499.5,2025,180000
40,2021,Land,Rover,Recon,Automatic,5,7499.5,2025,1000000
41,2014,Audi,Q3,Used,Automatic,2,114999.5,2025,37788
42,2011,Toyota,Altis,Used,Automatic,2,124999.5,2025,29488
43,2009,Toyota,Avanza,Used,Automatic,1.5,154999.5,2025,15999
44,2010,Honda,Cr-V,Used,Automatic,2,104999.5,2025,29800
