,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
0,2019,Honda,City,Used,Automatic,1.5,82499.5,54800.0
1,2016,Perodua,Bezza,Used,Automatic,1.3,104999.5,32800.0
2,2015,Honda,Jazz,Used,Automatic,1.5,134999.5,48800.0
3,2019,Proton,X70,Used,Automatic,1.8,57499.5,56800.0
4,2021,Proton,X70,Used,Automatic,1.8,67499.5,65800.0
5,2014,Honda,Jazz,Used,Automatic,1.5,124999.5,35000.0
6,2013,r2015,Audi,Used,Automatic,2.0,124999.5,57800.0
7,2024,Ford,Ranger,New,Automatic,2.0,2499.5,242188.0
8,2018,Bmw,740Le,Used,Automatic,2.0,92499.5,147800.0
9,2023,Toyota,Landcruiser,Recon,Automatic,3.4,7499.5,518000.0
10,2020,Bmw,740Le,Used,Automatic,3.0,97499.5,219800.0
11,2020,Bmw,740Le,Used,Automatic,3.0,97499.5,219800.0
12,2023,Honda,Civic,Recon,Automatic,2.0,2499.5,325000.0
13,2025,Proton,Saga,New,Automatic,1.3,2499.5,32000.0
14,2019,AUDI,A5,Used,Automatic,2.0,32499.5,166000.0
15,2020,Nissan,X-Trail,Used,Automatic,2.0,52499.5,76500.0
16,2018,Perodua,Myvi,Used,Automatic,1.5,72499.5,40800.0
17,2016,Lexus,Nx200,Used,Automatic,2.0,82499.5,135000.0
18,2013,Honda,Civic,Used,Automatic,1.8,97499.5,32800.0
19,2018,Honda,Hr-V,Used,Automatic,1.8,97499.5,57800.0
20,2015,Nissan,Grand,Used,Automatic,1.6,114999.5,31800.0
21,2021,Toyota,Yaris,Used,Automatic,1.5,52499.5,51900.0
22,2012,Toyota,Vellfire,Recon,Automatic,2.4,124999.5,90000.0
23,2015,Mercedes,Benz,Used,Automatic,1.6,82499.5,68800.0
24,2020,Porsche,911,Recon,Automatic,3.0,22499.5,768000.0
25,2022,Toyota,Harrier,Recon,Automatic,2.0,47499.5,192000.0
26,2017,Honda,Jazz,Used,Automatic,1.5,62499.5,48999.0
27,2017,Toyota,Vios,Used,Automatic,1.5,62499.5,45999.0
28,2020,Proton,X70,Used,Automatic,1.8,52499.5,53999.0
29,2016,Kia,Optima,Used,Automatic,2.0,67499.5,43999.0
30,2016,Toyota,Hilux,Used,Automatic,2.5,72499.5,59999.0
31,2017,Mercedes,Benz,Used,Automatic,3.0,62499.5,227800.0
32,2012,Toyota,Estima,Used,Automatic,2.4,154999.5,68800.0
33,2015,Honda,City,Used,Automatic,1.5,134999.5,0.0
34,2018,Proton,Exora,Used,Automatic,1.6,77499.5,0.0
35,2011,Perodua,Myvi,Used,Automatic,1.3,124999.5,0.0
36,2020,Mercedes,Benz,Recon,Automatic,2.0,12499.5,0.0
37,2015,/20,Mercedes,Used,Automatic,2.0,104999.5,125800.0
38,2023,Toyota,Vellfire,Recon,Automatic,2.4,2499.5,447000.0
39,2021,Toyota,Harrier,Recon,Automatic,2.0,7499.5,180000.0
40,2021,Land,Rover,Recon,Automatic,5.0,7499.5,1000000.0
41,2014,Audi,Q3,Used,Automatic,2.0,114999.5,37788.0
