,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
0,2019,Honda,City,Used,Automatic,1497,82499.5,54800
1,2016,Perodua,Bezza,Used,Automatic,1329,104999.5,32800
2,2015,Honda,Jazz,Used,Automatic,1497,134999.5,48800
3,2019,Proton,X70,Used,Automatic,1799,57499.5,56800
4,2021,Proton,X70,Used,Automatic,1799,67499.5,65800
5,2014,Honda,Jazz,Used,Automatic,1497,124999.5,35000
6,2013,r2015,Audi,Used,Automatic,1984,124999.5,57800
7,2024,Ford,Ranger,New,Automatic,1996,2499.5,242188
8,2018,Bmw,740Le,Used,Automatic,1998,92499.5,147800
9,2023,Toyota,Landcruiser,Recon,Automatic,3444,7499.5,518000
10,2020,Bmw,740Le,Used,Automatic,2998,97499.5,219800
11,2020,Bmw,740Le,Used,Automatic,2998,97499.5,219800
12,2023,Honda,Civic,Recon,Automatic,1995,2499.5,325000
13,2025,Proton,Saga,New,Automatic,1332,2499.5,32000
14,2019,AUDI,A5,Used,Automatic,1984,32499.5,166000
15,2020,Nissan,X-Trail,Used,Automatic,1997,52499.5,76500
16,2018,Perodua,Myvi,Used,Automatic,1496,72499.5,40800
17,2016,Lexus,Nx200,Used,Automatic,1998,82499.5,135000
18,2013,Honda,Civic,Used,Automatic,1798,97499.5,32800
19,2018,Honda,Hr-V,Used,Automatic,1799,97499.5,57800
20,2015,Nissan,Grand,Used,Automatic,1598,114999.5,31800
21,2021,Toyota,Yaris,Used,Automatic,1496,52499.5,51900
22,2012,Toyota,Vellfire,Recon,Automatic,2362,124999.5,90000
23,2015,Mercedes,Benz,Used,Automatic,1595,82499.5,68800
24,2020,Porsche,911,Recon,Automatic,2981,22499.5,768000
25,2022,Toyota,Harrier,Recon,Automatic,1987,47499.5,192000
26,2017,Honda,Jazz,Used,Automatic,1497,62499.5,48999
27,2017,Toyota,Vios,Used,Automatic,1496,62499.5,45999
28,2020,Proton,X70,Used,Automatic,1799,52499.5,53999
29,2016,Kia,Optima,Used,Automatic,1999,67499.5,43999
30,2016,Toyota,Hilux,Used,Automatic,2494,72499.5,59999
31,2017,Mercedes,Benz,Used,Automatic,2996,62499.5,227800
32,2012,Toyota,Estima,Used,Automatic,2362,154999.5,68800
33,2015,Honda,City,Used,Automatic,1497,134999.5,0
34,2018,Proton,Exora,Used,Automatic,1561,77499.5,0
35,2011,Perodua,Myvi,Used,Automatic,1298,124999.5,0
36,2020,Mercedes,Benz,Recon,Automatic,1991,12499.5,0
37,2015,/20,Mercedes,Used,Automatic,1991,104999.5,125800
38,2023,Toyota,Vellfire,Recon,Automatic,2393,2499.5,447000
39,2021,Toyota,Harrier,Recon,Automatic,1986,7499.5,180000
40,2021,Land,Rover,Recon,Automatic,5000,7499.5,1000000
41,2014,Audi,Q3,Used,Automatic,1984,114999.5,37788
42,2011,Toyota,Altis,Used,Automatic,1987,124999.5,29488
43,2009,Toyota,Avanza,Used,Automatic,1495,154999.5,15999
44,2010,Honda,Cr-V,Used,Automatic,1997,104999.5,29800
