,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
0,2015,Perodua,Myvi,New,Automatic,1495,0,47468.0
1,2015,Perodua,Myvi,New,Automatic,1495,0,55668.0
2,2015,Perodua,Alza,New,Automatic,1495,0,56132.0
3,2015,Perodua,Myvi,New,Automatic,1495,0,47468.0
4,2015,Perodua,Alza,New,Automatic,1495,0,65000.0
5,2015,Perodua,Myvi,New,Automatic,1298,0,43862.0
6,2015,Perodua,Axia,New,Automatic,998,0,39637.0
7,2015,Perodua,Myvi,New,Manual,1298,0,40862.0
8,2015,Perodua,Axia,New,Manual,998,0,36637.0
9,2015,Perodua,Axia,New,Manual,998,0,24437.0
10,2015,Perodua,Axia,New,Manual,998,0,30627.0
11,2015,Perodua,Axia,New,Automatic,998,0,33627.0
12,2015,Perodua,Axia,New,Automatic,998,0,32800.0
13,2015,Perodua,Myvi,New,Automatic,1298,0,43862.0
14,2015,Perodua,Myvi,New,Automatic,1495,0,52968.0
15,2015,Perodua,Alza,New,Automatic,1500,0,52332.0
16,2015,Perodua,Myvi,New,Automatic,1298,0,44000.0
17,2015,Perodua,Axia,New,Automatic,1000,0,35000.0
18,2014,Perodua,Myvi,New,Automatic,1495,0,47800.0
19,2015,Perodua,Axia,New,Automatic,1000,0,36637.0
20,2015,Perodua,Alza,New,Automatic,1500,0,52332.0
21,2015,Perodua,Myvi,New,Automatic,1500,0,49968.0
22,2015,Perodua,Alza,New,Automatic,1495,0,57000.0
23,2015,Perodua,Myvi,New,Automatic,1298,0,42500.0
24,2015,Perodua,Myvi,New,Automatic,1495,0,48000.0
25,2015,Perodua,Myvi,New,Automatic,1300,0,39900.0
26,2015,Perodua,Alza,New,Automatic,1495,0,57860.0
27,2015,Perodua,Alza,New,Automatic,1495,0,58632.0
28,2015,Perodua,Myvi,New,Automatic,1495,0,46800.0
29,2015,Perodua,Alza,New,Automatic,1495,0,59900.0
30,2015,Perodua,Myvi,New,Automatic,1298,0,42500.0
31,2015,Perodua,Alza,New,Automatic,1500,0,65400.0
32,2014,Perodua,Myvi,New,Manual,1495,0,41500.0
33,2015,Perodua,Axia,New,Automatic,998,0,33000.0
34,2015,Perodua,Alza,New,Automatic,1500,0,50219.0
35,2015,Perodua,Myvi,New,Automatic,1300,0,39735.0
36,2015,Perodua,Axia,New,Automatic,1000,0,21951.0
37,2015,Perodua,Axia,New,Automatic,1000,0,31400.0
38,2015,Perodua,Alza,New,Automatic,1495,0,53632.0
39,2015,Perodua,Axia,New,Automatic,998,0,38137.0
40,2015,Perodua,Alza,New,Automatic,1500,0,58632.0
41,2015,Perodua,Alza,New,Automatic,1495,0,47466.0
42,2015,Perodua,Myvi,New,Automatic,1298,0,36982.0
43,2015,Perodua,Myvi,New,Automatic,1300,0,42350.0
44,2015,Perodua,Alza,New,Automatic,1500,0,53500.0
45,2015,Perodua,Myvi,New,Automatic,1298,0,42400.0
46,2015,Perodua,Myvi,New,Automatic,1495,0,43700.0
47,2015,Perodua,Axia,New,Automatic,998,0,34027.0
48,2015,Perodua,Axia,New,Automatic,998,0,42637.0
49,2015,Perodua,Alza,New,Automatic,1500,0,55300.0
50,2015,Perodua,Myvi,New,Automatic,1495,0,49000.0
51,2015,Perodua,Alza,New,Automatic,1500,0,53500.0
52,2015,Perodua,Myvi,New,Automatic,1495,0,54300.0
53,2015,Perodua,Myvi,New,Automatic,1298,0,41000.0
54,2015,Perodua,Axia,New,Automatic,998,0,38500.0
55,2015,Perodua,Alza,New,Automatic,1495,0,59400.0
56,2015,Perodua,Alza,New,Automatic,1495,0,56800.0
57,2015,Perodua,Myvi,New,Automatic,1500,0,48100.0
58,2015,Perodua,Myvi,New,Automatic,1298,0,42500.0
59,2015,Perodua,Myvi,New,Automatic,1500,0,51000.0
60,2015,Perodua,Axia,New,Manual,998,0,24800.0
61,2015,Perodua,Myvi,New,Automatic,1500,0,52000.0
62,2015,Perodua,Myvi,New,Automatic,1500,0,46500.0
63,2015,Perodua,Axia,New,Automatic,998,0,42000.0
64,2015,Perodua,Axia,New,Automatic,998,0,40037.0
65,2015,Perodua,Alza,New,Automatic,1495,0,65432.0
66,2015,Perodua,Alza,New,Automatic,1500,0,54000.0
67,2014,Perodua,Axia,New,Automatic,998,0,31800.0
68,2015,Perodua,Myvi,New,Automatic,1300,0,42400.0
69,2015,Perodua,Myvi,New,Automatic,1300,0,44500.0
70,2015,Perodua,Alza,New,Automatic,1495,0,53929.0
71,2015,Perodua,Axia,New,Automatic,998,0,38086.0
72,2015,Perodua,Myvi,New,Automatic,1495,0,52668.0
73,2015,Perodua,Myvi,New,Automatic,1298,0,42527.0
74,2015,Perodua,Myvi,New,Automatic,1298,0,39775.0
75,2015,Perodua,Myvi,New,Automatic,1495,0,53368.0
76,2015,Perodua,Alza,New,Automatic,1495,0,50259.0
77,2015,Perodua,Alza,New,Automatic,1495,0,59056.0
78,2015,Perodua,Axia,New,Automatic,998,0,35940.0
79,2015,Perodua,Myvi,New,Automatic,1495,0,48081.0
80,2015,Perodua,Myvi,New,Automatic,1298,0,44362.0
81,2015,Perodua,Myvi,New,Automatic,1300,0,45700.0
82,2015,Perodua,Myvi,New,Automatic,1500,0,51200.0
83,2015,Perodua,Alza,New,Automatic,1500,0,53500.0
84,2015,Perodua,Axia,New,Automatic,1000,0,31500.0
85,2015,Perodua,Axia,New,Automatic,1000,0,33188.0
86,2015,Perodua,Myvi,New,Automatic,1495,0,52332.0
87,2015,Perodua,Axia,New,Manual,998,0,33188.0
