,year_produce,brand,model,car_type,gear_type,engine_cap,mileage,old_price
0,2013/2014,BMW,528i,used,Automatic,2.0,147500.0,87888.0
1,2017,Honda,Civic,used,Automatic,1.8,102500.0,70800.0
2,2012,BMW,328i,used,Automatic,2.0,137500.0,45800.0
3,2014,Toyota,Corolla Altis,used,Automatic,2.0,122500.0,49800.0
4,2013,Honda,Accord,used,Automatic,2.4,122500.0,45800.0
5,2013,BMW,520i,used,Automatic,2.0,137500.0,62800.0
6,2016,BMW,520i,used,Automatic,2.0,62500.0,119800.0
7,2018,Toyota,Harrier,used,Automatic,2.0,107500.0,149800.0
8,2017,BMW,X1,used,Automatic,2.0,122500.0,87800.0
9,2019,BMW,X4,used,Automatic,2.0,72500.0,245800.0
10,2014,BMW,528i,used,Automatic,2.0,142500.0,95634.0
11,2013,BMW,520i,used,Automatic,2.0,147500.0,4951562.0
12,2015,Honda,HR-V,used,Automatic,1.8,107500.0,54500.0
13,2017/2020,Toyota,Vellfire,used,Automatic,2.5,47500.0,155800.0
14,2016/2021,Toyota,Alphard,used,Automatic,2.5,47500.0,155800.0
15,2016,Perodua,Myvi,used,Automatic,1.3,102500.0,28000.0
16,2015,Honda,CR-V,used,Automatic,2.4,62500.0,59999.0
17,2016,Honda,CR-V,used,Automatic,2.0,92500.0,69800.0
18,2017,Honda,City,used,Automatic,1.5,62500.0,45999.0
19,2015,Honda,City,used,Automatic,1.5,72500.0,44800.0
20,2018,Toyota,C-HR,used,Automatic,1.8,97500.0,7584500.0
21,2016,Toyota,Harrier,used,Automatic,2.0,72500.0,96888.0
22,2012,BMW,328i,used,Automatic,2.0,117500.0,58500.0
23,2015,Volvo,XC60,used,Automatic,2.0,92500.0,76800.0
24,2014,nan,,used,Automatic,3.5,87500.0,99900.0
25,2014,Toyota,Alphard,used,Automatic,3.5,97500.0,105800.0
26,2019,nan,,used,Automatic,2.0,82500.0,131900.0
27,2015,Honda,HR-V,used,Automatic,1.8,77500.0,49800.0
28,2018,Mazda,CX-5,used,Automatic,2.5,92500.0,93800.0
29,2016/2018,BMW,X1,used,Automatic,2.0,47500.0,77800.0
30,2016,Ford,Ranger,used,Manual,2.2,102500.0,55800.0
31,2017/2020,Toyota,Alphard,used,Automatic,2.5,87500.0,181999.0
32,2020/2022,Toyota,Alphard,used,Automatic,2.5,42500.0,242999.0
33,2018,Nissan,X-Trail,used,Automatic,2.0,67500.0,47800.0
34,2020,Toyota,Harrier,used,Automatic,2.0,22500.0,208000.0
35,2021,Toyota,Harrier,used,Automatic,2.0,27500.0,213000.0
36,2019,Toyota,Vellfire,used,Automatic,3.5,17500.0,308000.0
37,2021,Toyota,Vellfire,used,Automatic,3.5,2500.0,318000.0
38,2021,Toyota,Alphard,used,Automatic,2.5,22500.0,283000.0
39,2022,Toyota,Alphard,used,Automatic,2.5,12500.0,293000.0
40,2021,Toyota,Alphard,used,Automatic,2.5,12500.0,298000.0
41,2021,Toyota,Alphard,used,Automatic,2.5,12500.0,283000.0
42,2021,Toyota,Alphard,used,Automatic,2.5,7500.0,283000.0
43,2021,Toyota,Alphard,used,Automatic,2.5,17500.0,295000.0
44,2019,Toyota,Vellfire,used,Automatic,2.5,47500.0,233000.0
