,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
0,2013,BMW,528i,used,Automatic,2,2023,147500,87888
1,2013,Honda,Civic,used,Automatic,1.8,2023,102500,70800
2,2013,BMW,328i,used,Automatic,2,2023,137500,45800
3,2013,Toyota,Corolla Altis,used,Automatic,2,2023,122500,49800
4,2013,Honda,Accord,used,Automatic,2.4,2023,122500,45800
5,2013,BMW,520i,used,Automatic,2,2023,137500,62800
6,2013,BMW,520i,used,Automatic,2,2023,62500,119800
7,2013,Toyota,Harrier,used,Automatic,2,2023,107500,149800
8,2013,BMW,X1,used,Automatic,2,2023,122500,87800
9,2013,BMW,X4,used,Automatic,2,2023,72500,245800
10,2013,BMW,528i,used,Automatic,2,2023,142500,95634
11,2013,BMW,520i,used,Automatic,2,2023,147500,4951562
12,2013,Honda,HR-V,used,Automatic,1.8,2023,107500,54500
13,2017,Toyota,Vellfire,used,Automatic,2.5,2023,47500,155800
14,2016,Toyota,Alphard,used,Automatic,2.5,2023,47500,155800
15,2016,Perodua,Myvi,used,Automatic,1.3,2023,102500,28000
16,2016,Honda,CR-V,used,Automatic,2.4,2023,62500,59999
17,2016,Honda,CR-V,used,Automatic,2,2023,92500,69800
18,2016,Honda,City,used,Automatic,1.5,2023,62500,45999
19,2016,Honda,City,used,Automatic,1.5,2023,72500,44800
20,2016,Toyota,C-HR,used,Automatic,1.8,2023,97500,7584500
21,2016,Toyota,Harrier,used,Automatic,2,2023,72500,96888
22,2016,BMW,328i,used,Automatic,2,2023,117500,58500
23,2016,Volvo,XC60,used,Automatic,2,2023,92500,76800
25,2016,Toyota,Alphard,used,Automatic,3.5,2023,97500,105800
27,2016,Honda,HR-V,used,Automatic,1.8,2023,77500,49800
28,2016,Mazda,CX-5,used,Automatic,2.5,2023,92500,93800
29,2016,BMW,X1,used,Automatic,2,2023,47500,77800
30,2016,Ford,Ranger,used,Manual,2.2,2023,102500,55800
31,2017,Toyota,Alphard,used,Automatic,2.5,2023,87500,181999
32,2020,Toyota,Alphard,used,Automatic,2.5,2023,42500,242999
33,2020,Nissan,X-Trail,used,Automatic,2,2023,67500,47800
34,2020,Toyota,Harrier,used,Automatic,2,2023,22500,208000
35,2020,Toyota,Harrier,used,Automatic,2,2023,27500,213000
36,2020,Toyota,Vellfire,used,Automatic,3.5,2023,17500,308000
37,2020,Toyota,Vellfire,used,Automatic,3.5,2023,2500,318000
38,2020,Toyota,Alphard,used,Automatic,2.5,2023,22500,283000
39,2020,Toyota,Alphard,used,Automatic,2.5,2023,12500,293000
40,2020,Toyota,Alphard,used,Automatic,2.5,2023,12500,298000
41,2020,Toyota,Alphard,used,Automatic,2.5,2023,12500,283000
