Title1,Title_URL,Image,flex,flex1,flex2,textblack,flex3,flex4,scfrdjqd,schqync,textsm
Honda CITY 1.5 E (A),https://www.mudah.my/2019-honda-city-1-5-e-a-109448103.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2019,2019,1497cc,2019,2025,Johor,"RM54,800"
Perodua BEZZA 1.3 ADVANCE (A) - 1 OWNER,https://www.mudah.my/2016-perodua-bezza-1-3-advance-a-1-owner-108600224.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,100000 - 109999,2016,2016,1329cc,2016,2025,Selangor,"RM32,800"
Honda JAZZ 1.5 V (A)1OWNER/FULL SERVICE HONDA,https://www.mudah.my/2015-honda-jazz-1-5-v-a-1owner-full-service-honda-105118813.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,130000 - 139999,2015,2015,1497cc,2015,2025,Selangor,"RM48,800"
Proton X70 1.8 PREMIUM 2WD (A) FULL SERVICE,https://www.mudah.my/2019-proton-x70-1-8-premium-2wd-a-full-service-109421647.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,55000 - 59999,2019,2019,1799cc,2019,2025,Selangor,"RM56,800"
Proton X70 EXECUTIVE 2WD 1.8L (A) - FULL LOAN,https://www.mudah.my/2021-proton-x70-executive-2wd-1-8l-a-full-loan-109294974.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,65000 - 69999,2021,2021,1799cc,2021,2025,Selangor,"RM65,800"
Honda JAZZ 1.5 S (A) Good Condition 2015,https://www.mudah.my/2014-honda-jazz-1-5-s-a-good-condition-2015-103455388.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2014,2014,1497cc,2014,2025,Perak,"RM35,000"
r2015 Audi A5 2.0 TFSI QUATTRO S-LINE ORIGINAL MIL,https://www.mudah.my/r2015-audi-a5-2-0-tfsi-quattro-s-line-original-mil-109366449.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,120000 - 129999,2013,2013,1984cc,2013,2025,Kuala Lumpur,"RM57,800"
Ford RANGER 2.0 RAPTOR MY22 (A),https://www.mudah.my/2024-ford-ranger-2-0-raptor-my22-a-105079494.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,New,0 - 4999,2024,,1996cc,1996cc,2025,Sabah,"RM242,188"
Bmw 740Le xDrive 2.0 1 VIP OWNER GRADE A CAR,https://www.mudah.my/bmw-740le-xdrive-2-0-1-vip-owner-grade-a-car-109638210.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,90000 - 94999,2018,2018,1998cc,2018,2025,Selangor,"RM147,800"
Toyota LANDCRUISER 3.5 ZX (A) Fully Loaded,https://www.mudah.my/2023-toyota-landcruiser-3-5-zx-a-fully-loaded-109474094.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,5000 - 9999,2023,,3444cc,3444cc,2025,Kuala Lumpur,"RM518,000"
Bmw 740Le 3.0L UNDER BMW WARRANTY UNTIL 2026,https://www.mudah.my/2020-bmw-740le-3-0l-under-bmw-warranty-until-2026-109634371.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,95000 - 99999,2020,2020,2998cc,2020,2025,Selangor,"RM219,800"
Bmw 740Le 3.0L FACELIFT - VVIP ONE OWNER,https://www.mudah.my/bmw-740le-3-0l-facelift-vvip-one-owner-109596968.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,95000 - 99999,2020,2020,2998cc,2020,2025,Selangor,"RM219,800"
Honda CIVIC 2.0 TYPE R (FL5) (A),https://www.mudah.my/2023-honda-civic-2-0-type-r-fl5-a-109407833.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,0 - 4999,2023,,1995cc,1995cc,2025,Kuala Lumpur,"RM325,000"
Proton SAGA Full Loan Free Bodykits,https://www.mudah.my/2025-proton-saga-full-loan-free-bodykits-105473424.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,New,0 - 4999,2025,,1332cc,1332cc,2025,Selangor,"RM32,000"
AUDI A5 SPORTBACK TFSI S Line 45 QUATTRO,https://www.mudah.my/audi-a5-sportback-tfsi-s-line-45-quattro-109601728.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,30000 - 34999,2019,2019,1984cc,2019,2025,Kuala Lumpur,"RM166,000"
Nissan X-TRAIL X-CVT HYBRID 2.0L (A) OTR PRIC,https://www.mudah.my/2020-nissan-x-trail-x-cvt-hybrid-2-0l-a-otr-pric-108167303.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,50000 - 54999,2020,2020,1997cc,2020,2025,Selangor,"RM76,500"
Perodua MYVI 1.5 H (A) ADV FULL LOAN BOLEH!!,https://www.mudah.my/2018-perodua-myvi-1-5-h-a-adv-full-loan-boleh-107193905.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,70000 - 74999,2018,2018,1496cc,2018,2025,Selangor,"RM40,800"
Lexus NX200 2.0T F-SPORT PREMIUM OTR PRICE !!,https://www.mudah.my/2016-lexus-nx200-2-0t-f-sport-premium-otr-price-108827830.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2016,2016,1998cc,2016,2025,Selangor,"RM135,000"
Honda CIVIC FB FC 1.8 (A) Full Honda Service,https://www.mudah.my/2013-honda-civic-fb-fc-1-8-a-full-honda-service-109339800.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,95000 - 99999,2013,2013,1798cc,2013,2025,Penang,"RM32,800"
Honda HR-V 1.8 (A) Full Honda Service Record,https://www.mudah.my/2018-honda-hr-v-1-8-a-full-honda-service-record-109530736.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,95000 - 99999,2018,2018,1799cc,2018,2025,Penang,"RM57,800"
Nissan GRAND LIVINA 1.6 COMFORT (A) TIP TOP,https://www.mudah.my/2015-nissan-grand-livina-1-6-comfort-a-tip-top-109260671.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,110000 - 119999,2015,2015,1598cc,2015,2025,Penang,"RM31,800"
Toyota YARIS 1.5 (A) 2025 NEW LOW PRICE,https://www.mudah.my/2021-toyota-yaris-1-5-a-2025-new-low-price-109302989.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,50000 - 54999,2021,2021,1496cc,2021,2025,Penang,"RM51,900"
Toyota VELLFIRE 2.4 Z G-EDITION FACELIFT (A),https://www.mudah.my/2012-toyota-vellfire-2-4-z-g-edition-facelift-a-109809827.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,120000 - 129999,2012,,2362cc,2362cc,2025,Johor,"RM90,000"
Mercedes Benz CLA200 AMG (CBU) 1.6 C117 CLA,https://www.mudah.my/2015-mercedes-benz-cla200-amg-cbu-1-6-c117-cla-109809825.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,80000 - 84999,2015,,1595cc,1595cc,2025,Kuala Lumpur,"RM68,800"
Porsche 911 3.0 CARRERA S Kahn Upgrades Kit,https://www.mudah.my/2020-porsche-911-3-0-carrera-s-kahn-upgrades-kit-109809813.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,20000 - 24999,2020,,2981cc,2981cc,2025,Selangor,"RM768,000"
Toyota HARRIER Z SPEC 2.0 HUD BSM JBL 4CAM PR,https://www.mudah.my/2022-toyota-harrier-z-spec-2-0-hud-bsm-jbl-4cam-pr-97924092.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Recon,45000 - 49999,2022,,1987cc,1987cc,2025,Kuala Lumpur,"RM192,000"
Honda JAZZ 1.5 V (A) 3Y FULL WARRANTY H/LOAN,https://www.mudah.my/2017-honda-jazz-1-5-v-a-3y-full-warranty-h-loan-109756150.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2017,,1497cc,1497cc,2025,Johor,"RM48,999"
Toyota VIOS 1.5 G (A) 3YRS WRT H/LOAN,https://www.mudah.my/2017-toyota-vios-1-5-g-a-3yrs-wrt-h-loan-107806022.htm,https://mcdn.mudah.my/static-assets/images/olympus/transparent.png,Used,60000 - 64999,2017,,1496cc,1496cc,2025,Johor,"RM45,999"
