,year_produce,brand,model,car_type,gear_type,engine_cap,year_extracted,mileage,old_price
0,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,47468
1,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,55668
2,2015,Perodua,Alza,New,Automatic,1.5,2018,0,56132
3,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,47468
4,2015,Perodua,Alza,New,Automatic,1.5,2018,0,65000
5,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43862
6,2015,Perodua,Axia,New,Automatic,1,2018,0,39637
7,2015,Perodua,Myvi,New,Manual,1.3,2018,0,40862
8,2015,Perodua,Axia,New,Manual,1,2018,0,36637
9,2015,Perodua,Axia,New,Manual,1,2018,0,24437
10,2015,Perodua,Axia,New,Manual,1,2018,0,30627
11,2015,Perodua,Axia,New,Automatic,1,2018,0,33627
12,2015,Perodua,Axia,New,Automatic,1,2018,0,32800
13,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43862
14,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52968
15,2015,Perodua,Alza,New,Automatic,1.5,2018,0,52332
16,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44000
17,2015,Perodua,Axia,New,Automatic,1,2018,0,35000
18,2014,Perodua,Myvi,New,Automatic,1.5,2018,0,47800
19,2015,Perodua,Axia,New,Automatic,1,2018,0,36637
20,2015,Perodua,Alza,New,Automatic,1.5,2018,0,52332
21,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49968
22,2015,Perodua,Alza,New,Automatic,1.5,2018,0,57000
23,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42500
24,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48000
25,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,39900
26,2015,Perodua,Alza,New,Automatic,1.5,2018,0,57860
27,2015,Perodua,Alza,New,Automatic,1.5,2018,0,58632
28,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,46800
29,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59900
30,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42500
31,2015,Perodua,Alza,New,Automatic,1.5,2018,0,65400
32,2014,Perodua,Myvi,New,Manual,1.5,2018,0,41500
33,2015,Perodua,Axia,New,Automatic,1,2018,0,33000
34,2015,Perodua,Alza,New,Automatic,1.5,2018,0,50219
35,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,39735
36,2015,Perodua,Axia,New,Automatic,1,2018,0,21951
37,2015,Perodua,Axia,New,Automatic,1,2018,0,31400
38,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53632
39,2015,Perodua,Axia,New,Automatic,1,2018,0,38137
40,2015,Perodua,Alza,New,Automatic,1.5,2018,0,58632
41,2015,Perodua,Alza,New,Automatic,1.5,2018,0,47466
42,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,36982
43,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42350
44,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53500
45,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42400
46,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,43700
47,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
48,2015,Perodua,Axia,New,Automatic,1,2018,0,42637
49,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55300
50,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49000
51,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53500
52,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,54300
53,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,41000
54,2015,Perodua,Axia,New,Automatic,1,2018,0,38500
55,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59400
56,2015,Perodua,Alza,New,Automatic,1.5,2018,0,56800
57,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48100
58,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42500
59,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,51000
60,2015,Perodua,Axia,New,Manual,1,2018,0,24800
61,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52000
62,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,46500
63,2015,Perodua,Axia,New,Automatic,1,2018,0,42000
64,2015,Perodua,Axia,New,Automatic,1,2018,0,40037
65,2015,Perodua,Alza,New,Automatic,1.5,2018,0,65432
66,2015,Perodua,Alza,New,Automatic,1.5,2018,0,54000
67,2014,Perodua,Axia,New,Automatic,1,2018,0,31800
68,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42400
69,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44500
70,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53929
71,2015,Perodua,Axia,New,Automatic,1,2018,0,38086
72,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52668
73,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42527
74,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,39775
75,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,53368
76,2015,Perodua,Alza,New,Automatic,1.5,2018,0,50259
77,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59056
78,2015,Perodua,Axia,New,Automatic,1,2018,0,35940
79,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48081
80,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44362
81,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,45700
82,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,51200
83,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53500
84,2015,Perodua,Axia,New,Automatic,1,2018,0,31500
85,2015,Perodua,Axia,New,Automatic,1,2018,0,33188
86,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52332
87,2015,Perodua,Axia,New,Manual,1,2018,0,33188
88,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48081
89,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59056
90,2015,Perodua,Alza,New,Automatic,1.5,2018,0,65432
91,2015,Perodua,Axia,New,Automatic,1,2018,0,39200
92,2015,Perodua,Alza,New,Automatic,1.5,2018,0,60900
93,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42000
94,2015,Perodua,Axia,New,Manual,1,2018,0,23300
95,2015,Perodua,Alza,New,Automatic,1.5,2018,0,53500
96,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43800
97,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,47262
98,2015,Perodua,Alza,New,Automatic,1.5,2018,0,54000
99,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42500
100,2015,Perodua,Alza,New,Automatic,1.5,2018,0,48000
101,2015,Perodua,Axia,New,Automatic,1,2018,0,40570
102,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49566
103,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59527
104,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48459
105,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42904
106,2015,Perodua,Alza,New,Automatic,1.5,2018,0,54374
107,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,40126
108,2015,Perodua,Axia,New,Automatic,1,2018,0,39000
109,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59200
110,2015,Perodua,Alza,New,Automatic,1.5,2018,0,56300
111,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,47900
112,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,41070
113,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42700
114,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48100
115,2015,Perodua,Axia,New,Automatic,1,2018,0,31500
116,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
117,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
118,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,37000
119,2015,Perodua,Alza,New,Automatic,1.5,2018,0,50200
120,2015,Perodua,Axia,New,Automatic,1,2018,0,38432
121,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43000
122,2015,Perodua,Axia,New,Manual,1,2018,0,23300
123,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48100
124,2015,Perodua,Axia,New,Automatic,1,2018,0,33623
125,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49368
126,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44267
127,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,49262
128,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48000
129,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,49000
130,2015,Perodua,Axia,New,Automatic,1,2018,0,33037
131,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
132,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
133,2015,Perodua,Myvi,New,Manual,1.5,2018,0,53300
134,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
135,2015,Perodua,Axia,New,Automatic,1,2018,0,31612
136,2015,Perodua,Axia,New,Automatic,1,2018,0,39637
137,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,57968
138,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
139,2015,Perodua,Alza,New,Automatic,1.5,2018,0,61400
140,2015,Perodua,Axia,New,Automatic,1,2018,0,39637
141,2015,Perodua,Alza,New,Automatic,1.5,2018,0,56800
142,2015,Perodua,Axia,New,Automatic,1,2018,0,33188
143,2015,Perodua,Axia,New,Automatic,1,2018,0,32900
144,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,45762
145,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
146,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,44262
147,2015,Perodua,Axia,New,Automatic,1,2018,0,42000
148,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,56228
149,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59056
150,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42500
151,2015,Perodua,Axia,New,Automatic,1,2018,0,32600
152,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,53368
153,2015,Perodua,Alza,New,Automatic,1.5,2018,0,56132
154,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55000
155,2015,Perodua,Axia,New,Automatic,1,2018,0,42377
156,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59832
157,2015,Perodua,Axia,New,Manual,1,2018,0,29600
158,2015,Perodua,Myvi,New,Manual,1.3,2018,0,40862
159,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,39775
160,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52668
161,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55300
162,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,56000
163,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
164,2015,Perodua,Axia,New,Manual,1,2018,0,24437
165,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,40962
166,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,40962
167,2015,Perodua,Alza,New,Automatic,1.5,2018,0,47467
168,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
169,2015,Perodua,Alza,New,Automatic,1.5,2018,0,65432
170,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,54832
171,2015,Perodua,Axia,New,Automatic,1,2018,0,42377
172,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49868
173,2015,Perodua,Axia,New,Automatic,1,2018,0,34000
174,2014,Perodua,Axia,New,Automatic,1,2018,0,41900
175,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49900
176,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,48600
177,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42300
178,2015,Perodua,Axia,New,Automatic,1,2018,0,39400
179,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55100
180,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49400
181,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
182,2015,Perodua,Axia,New,Automatic,1,2018,0,34027
183,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43800
184,2015,Perodua,Axia,New,Automatic,1,2018,0,41700
185,2015,Perodua,Alza,New,Automatic,1.5,2018,0,58300
186,2015,Perodua,Alza,New,Automatic,1.5,2018,0,60900
187,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,57400
188,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,39700
189,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,48862
190,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
191,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48000
192,2015,Perodua,Axia,New,Automatic,1,2018,0,42377
193,2015,Perodua,Axia,New,Automatic,1,2018,0,33037
194,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,58368
195,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,50468
196,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,42662
197,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,36983
198,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,48168
199,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52900
200,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59432
201,2015,Perodua,Axia,New,Automatic,1,2018,0,33700
202,2014,Perodua,Axia,New,Automatic,1,2018,0,32800
203,2014,Perodua,Axia,New,Automatic,1,2018,0,29800
204,2015,Perodua,Axia,New,Automatic,1,2018,0,40900
205,2015,Perodua,Alza,New,Automatic,1.5,2018,0,50200
206,2015,Perodua,Alza,New,Manual,1.5,2018,0,55000
207,2015,Perodua,Myvi,New,Manual,1.5,2018,0,56600
208,2015,Perodua,Axia,New,Automatic,1,2018,0,30300
209,2015,Perodua,Axia,New,Manual,1,2018,0,29000
210,2015,Perodua,Axia,New,Manual,1,2018,0,24000
211,2015,Perodua,Axia,New,Automatic,1,2018,0,42637
212,2015,Perodua,Myvi,New,Manual,1.5,2018,0,48700
213,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
214,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,47000
215,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,50368
216,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,58300
217,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55832
218,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,55668
219,2015,Perodua,Axia,New,Automatic,1,2018,0,39637
220,2015,Perodua,Axia,New,Automatic,1,2018,0,34037
221,2015,Perodua,Axia,New,Manual,1,2018,0,24437
222,2015,Perodua,Axia,New,Automatic,1,2018,0,38408
223,2014,Perodua,Myvi,New,Automatic,1.5,2018,0,60037
224,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,50868
225,2015,Perodua,Axia,New,Automatic,1,2018,0,42377
226,2015,Perodua,Alza,New,Automatic,1.5,2018,0,54800
227,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,48300
228,2015,Perodua,Axia,New,Automatic,1,2018,0,39100
229,2015,Perodua,Alza,New,Automatic,1.5,2018,0,64932
230,2015,Perodua,Alza,New,Automatic,1.5,2018,0,57600
231,2015,Perodua,Alza,New,Automatic,1.5,2018,0,55332
232,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43000
233,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,56400
234,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,41800
235,2015,Perodua,Alza,New,Automatic,1.5,2018,0,57800
236,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44300
237,2015,Perodua,Axia,New,Automatic,1,2018,0,41400
238,2015,Perodua,Alza,New,Automatic,1.5,2018,0,62400
239,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,49900
240,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59332
241,2015,Perodua,Axia,New,Automatic,1,2018,0,33037
242,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,40862
243,2015,Perodua,Axia,New,Automatic,1,2018,0,29637
244,2015,Perodua,Axia,New,Manual,1,2018,0,24800
245,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,44735
246,2015,Perodua,Axia,New,Automatic,1,2018,0,42367
247,2015,Perodua,Axia,New,Manual,1,2018,0,29637
248,2015,Perodua,Myvi,New,Automatic,1.3,2018,0,43862
249,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,58368
250,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,58368
251,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,52000
252,2015,Perodua,Alza,New,Automatic,1.5,2018,0,52300
253,2015,Perodua,Alza,New,Automatic,1.5,2018,0,64932
254,2015,Perodua,Alza,New,Automatic,1.5,2018,0,59932
255,2015,Perodua,Alza,New,Automatic,1.5,2018,0,49332
256,2015,Perodua,Myvi,New,Automatic,1.5,2018,0,58368
257,2015,Perodua,Alza,New,Automatic,1.5,2018,0,64932
